utc_date,acct,registration_date,subscription_start,course_key,sibling_key,course_title,has_visited,total_minutes_visited,lessons_completed,projects_completed,account_key
2014-11-05,448,2014-08-05,2014-11-05,ud359-nd,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud120-nd,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud651-nd,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud507-nd,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud651,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud804-nd,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud032-nd,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud304-nd,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud120,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud359,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud032,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud507,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud304,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,ud804,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-05,448,2014-08-05,2014-11-05,nd002,nd002,Data Analyst Nanodegree,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud304-nd,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud120-nd,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud507-nd,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud032-nd,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud359-nd,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud651-nd,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud651,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud120,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud359,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud032,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud804-nd,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud507,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud304,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,ud804,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-06,448,2014-08-05,2014-11-05,nd002,nd002,Data Analyst Nanodegree,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud804-nd,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud359,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud359-nd,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud304-nd,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud120-nd,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud651-nd,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud032-nd,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud507-nd,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud032,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud304,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud120,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud804,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud507,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,ud651,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-07,448,2014-08-05,2014-11-05,nd002,nd002,Data Analyst Nanodegree,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud651-nd,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud507-nd,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud120-nd,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud032-nd,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud032,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud359,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud804-nd,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud304-nd,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud359-nd,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud651,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud120,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud507,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud804,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,ud304,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-08,448,2014-08-05,2014-11-05,nd002,nd002,Data Analyst Nanodegree,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud359-nd,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud804-nd,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud359,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud032-nd,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud120-nd,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud651-nd,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud304-nd,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud507-nd,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud651,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud032,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud507,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud120,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud304,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,ud804,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-09,448,2014-08-05,2014-11-05,nd002,nd002,Data Analyst Nanodegree,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud359-nd,ud359,Intro to Data Science,1.0,4.2014215,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud032-nd,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud651-nd,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud120-nd,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud804-nd,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud304-nd,ud304,Intro to HTML and CSS,1.0,21.8635855,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud507-nd,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud359,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud651,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud304,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud507,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud120,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud804,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,ud032,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-10,448,2014-08-05,2014-11-10,nd002,nd002,Data Analyst Nanodegree,1.0,4.68185816667,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud304-nd,ud304,Intro to HTML and CSS,0.0,0.0,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud120-nd,ud120,Intro to Machine Learning,0.0,0.0,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud804-nd,ud804,JavaScript Basics,0.0,0.0,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud651-nd,ud651,Data Analysis with R,0.0,0.0,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud507-nd,ud507,Data Visualization and D3.js,0.0,0.0,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud032-nd,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud359-nd,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud359,ud359,Intro to Data Science,0.0,0.0,0.0,0.0,2257038596
2014-11-11,448,2014-08-05,2014-11-10,ud032,ud032,Data Wrangling with MongoDB,0.0,0.0,0.0,0.0,2257038596